danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.365,0.67,9,-10.014,1,0.0386,0.00142,0.892,0.111,0.4,128.488,audio_features,2HD5BWFthrNf2uFyEhi53d,spotify:track:2HD5BWFthrNf2uFyEhi53d,https://api.spotify.com/v1/tracks/2HD5BWFthrNf2uFyEhi53d,https://api.spotify.com/v1/audio-analysis/2HD5BWFthrNf2uFyEhi53d,507227,4
0.548,0.552,4,-8.536,0,0.0339,0.00463,0.737,0.0953,0.629,106.071,audio_features,1BJQdsPAiG3Sd300ZoWFYC,spotify:track:1BJQdsPAiG3Sd300ZoWFYC,https://api.spotify.com/v1/tracks/1BJQdsPAiG3Sd300ZoWFYC,https://api.spotify.com/v1/audio-analysis/1BJQdsPAiG3Sd300ZoWFYC,248253,4
0.725,0.594,4,-6.136,0,0.0733,0.245,0.000731,0.109,0.44,134.041,audio_features,1DCWaaJQNZwDrTyDKCE4a2,spotify:track:1DCWaaJQNZwDrTyDKCE4a2,https://api.spotify.com/v1/tracks/1DCWaaJQNZwDrTyDKCE4a2,https://api.spotify.com/v1/audio-analysis/1DCWaaJQNZwDrTyDKCE4a2,338293,4
0.48,0.464,2,-5.855,0,0.0635,0.525,0.00639,0.0568,0.618,200.004,audio_features,6pOtevbJiegcnGEThaYFd7,spotify:track:6pOtevbJiegcnGEThaYFd7,https://api.spotify.com/v1/tracks/6pOtevbJiegcnGEThaYFd7,https://api.spotify.com/v1/audio-analysis/6pOtevbJiegcnGEThaYFd7,466453,4
0.313,0.42,10,-9.806,1,0.0303,0.797,2.35e-06,0.126,0.339,178.711,audio_features,0gWvVB4bGvADocoPMEDy3K,spotify:track:0gWvVB4bGvADocoPMEDy3K,https://api.spotify.com/v1/tracks/0gWvVB4bGvADocoPMEDy3K,https://api.spotify.com/v1/audio-analysis/0gWvVB4bGvADocoPMEDy3K,152000,4
0.446,0.97,9,-5.004,0,0.0508,0.00754,0.000275,0.199,0.595,94.233,audio_features,2SrVGpjv0mqCR6j9EZPSm2,spotify:track:2SrVGpjv0mqCR6j9EZPSm2,https://api.spotify.com/v1/tracks/2SrVGpjv0mqCR6j9EZPSm2,https://api.spotify.com/v1/audio-analysis/2SrVGpjv0mqCR6j9EZPSm2,363587,4
0.453,0.981,9,-3.44,1,0.0933,0.0094,0.0015,0.0619,0.566,161.84,audio_features,2H9bGBCVI7pK9qbSkbQI2L,spotify:track:2H9bGBCVI7pK9qbSkbQI2L,https://api.spotify.com/v1/tracks/2H9bGBCVI7pK9qbSkbQI2L,https://api.spotify.com/v1/audio-analysis/2H9bGBCVI7pK9qbSkbQI2L,262467,4
0.34,0.623,8,-9.643,0,0.0568,0.0623,0.0143,0.0881,0.197,132.719,audio_features,4deOMevnxrmSgEi1KE25Ka,spotify:track:4deOMevnxrmSgEi1KE25Ka,https://api.spotify.com/v1/tracks/4deOMevnxrmSgEi1KE25Ka,https://api.spotify.com/v1/audio-analysis/4deOMevnxrmSgEi1KE25Ka,314240,4
0.41,0.929,6,-5.884,1,0.0354,0.0273,0.0013,0.12,0.554,138.462,audio_features,7xki0BmuOllyquWqjhETyr,spotify:track:7xki0BmuOllyquWqjhETyr,https://api.spotify.com/v1/tracks/7xki0BmuOllyquWqjhETyr,https://api.spotify.com/v1/audio-analysis/7xki0BmuOllyquWqjhETyr,261373,4
0.531,0.665,4,-8.028,0,0.025,0.0145,0.655,0.109,0.196,100.04,audio_features,73e9GwB16rjd2OTT1TiXCm,spotify:track:73e9GwB16rjd2OTT1TiXCm,https://api.spotify.com/v1/tracks/73e9GwB16rjd2OTT1TiXCm,https://api.spotify.com/v1/audio-analysis/73e9GwB16rjd2OTT1TiXCm,530240,4
0.659,0.846,7,-5.508,1,0.0274,0.0318,0.0144,0.203,0.659,107.01,audio_features,2PFIZFcGry0po3ZfRZkzKc,spotify:track:2PFIZFcGry0po3ZfRZkzKc,https://api.spotify.com/v1/tracks/2PFIZFcGry0po3ZfRZkzKc,https://api.spotify.com/v1/audio-analysis/2PFIZFcGry0po3ZfRZkzKc,354636,4
0.611,0.792,4,-7.546,0,0.0394,0.00115,0.714,0.165,0.89,95.021,audio_features,1NzJh6JmbK7MOr7KHuXjM8,spotify:track:1NzJh6JmbK7MOr7KHuXjM8,https://api.spotify.com/v1/tracks/1NzJh6JmbK7MOr7KHuXjM8,https://api.spotify.com/v1/audio-analysis/1NzJh6JmbK7MOr7KHuXjM8,210040,4
0.467,0.643,6,-4.501,0,0.0328,0.000542,0.0405,0.334,0.153,120.064,audio_features,3RuIhrs6JiJOBQDLtqiJXs,spotify:track:3RuIhrs6JiJOBQDLtqiJXs,https://api.spotify.com/v1/tracks/3RuIhrs6JiJOBQDLtqiJXs,https://api.spotify.com/v1/audio-analysis/3RuIhrs6JiJOBQDLtqiJXs,271760,4
